Location;Participants;Cost
Park Slope, Brooklyn;Agent Liberty, Avengers, Ghost Rider vs. Asterix;$6000
Gramercy Park, Manhattan;Bruce Wayne, Iron Fist vs. Avengers, Booster Gold, Vixen;$3000
Brooklyn Heights, Brooklyn;Black Panther, Doc Savage, Doctor Strange, Green Lantern, Guardians of the Galaxy, Rocketeer, Shadow, Supergirl, V vs. Hawkeye;$1000
Greenpoint, Brooklyn;Aquaman vs. Ant-Man, Atom, Teenage Mutant Ninja Turtles, Vixen;$2000
Downtown Brooklyn, Brooklyn;Marvelman, Shadow vs. Plastic Man, Teenage Mutant Ninja Turtles, Wolverine;$5000
East Village, Manhattan;Black Panther vs. Wasp;$4000
Chinatown, Manhattan;Captain America, Kid Flash, Static Shock vs. Marvelman;$2000
Little Italy, Manhattan;Superman vs. Atom, Captain America, Raven;$5000
Roosevelt Island, Manhattan;Calendar Man, Raven, Rocketeer vs. Bronze Tiger, Zatanna;$2000
Alphabet City, Manhattan;Guardians of the Galaxy, Marvelman vs. Supergirl;$0
Castle Hill, Bronx;Batgirl vs. Ant-Man, Bronze Tiger;$5000
Castle Hill, Bronx;Marvelman vs. Flash, Impulse, Kate Spencer, Star-Spangled Kid;$0
Castle Hill, Bronx;Atom, Captain America, Catwoman, Doctor Strange, Iron Man, Lagoon Boy, Ray, Wolverine vs. Defenders, Mr. Terrific;$3000
Tribeca, Manhattan;Iron Man vs. Black Panther, Booster Gold, Defenders, Ghost Rider, Green Lantern, Iron Fist, Kate Spencer, Marvelman, Orin, Raven, Spider-Man, Superman, Wasp;$14000
Chinatown, Manhattan;Batwoman, Flash, Kid Flash, Lagoon Boy vs. Black Canary, Captain America, Conan the Barbarian, Doctor Strange, Elektra, Rorschach;$5000
Pelham Gardens, Bronx;Agent Liberty, Black Canary, Captain America, Green Lantern, Hawkeye, Ridder, Starfire, Teenage Mutant Ninja Turtles vs. Aquaman, Hank Hall;$11000
Greenpoint, Brooklyn;Gypsy, Iron Fist, X-Men vs. Ant-Man, Daredevil, Superman;$8000
Brooklyn Heights, Brooklyn;Gangbuster, Ghost Rider, Teenage Mutant Ninja Turtles vs. Aquaman, Arsenal, Batman, Black Panther, Captain Metropolis, Kate Spencer;$4000
Meatpacking District, Manhattan;Avengers, Batman, Captain Marvel, Cassandra Cain, Green Arrow, Orin, Rocket Red, Zatanna vs. Incredible Hulk;$12000
Nolita, Manhattan;Shadow vs. Gangbuster, Hawkeye, Katana, Plastic Man, Poison Ivy;$4000
Brooklyn Heights, Brooklyn;Superman vs. Elektra, Orin, Vixen, Wolverine;$1000
Sunset Park, Brooklyn;Moth Man, Ozymandias vs. Bronze Tiger, Fire, Iron Man, Shadow, Teenage Mutant Ninja Turtles;$2000
Belmont, Bronx;Iron Man, Raven vs. Silk Spectre;$0
Lenox Hill, Manhattan;Black Canary, Hawkeye, Karate Kid, Static Shock, Supergirl vs. Atom Smasher, Marvelman, Raven;$7000
Coney Island, Brooklyn;Hawkeye, Lagoon Boy, Plastic Man, Supergirl vs. Sub-Mariner;$2000
Nolita, Manhattan;Batwoman, Guy Gardner, Raven, Rocketeer vs. Avengers, Gypsy;$5000
Bedford Park, Bronx;Ant-Man, Black Panther, Plastic Man, Wolverine vs. Guardians of the Galaxy;$31000
Jackson Heights, Queens;Conan the Barbarian, Lagoon Boy, Shadow vs. Guardians of the Galaxy, Zatanna;$0
Williamsburg, Brooklyn;Calendar Man, Ice, V vs. Doctor Strange;$2000
Hell's Kitchen, Manhattan;Black Canary, Lagoon Boy vs. Watchmen;$8000
Koreatown, Manhattan;Starfire vs. Conan the Barbarian, Defenders, Huntress, Ridder, Wonder Woman;$3000
Washington Heights, Manhattan;Agent Liberty, Ant-Man, Atom, Batgirl, Doc Savage, Huntress, Iron Fist, Terry McGinnis, Wonder Woman vs. Asterix, Black Canary, Hawkeye, Teenage Mutant Ninja Turtles;$8000
Castle Hill, Bronx;Captain Marvel, Kamandi, Marvelman vs. Batwoman, Incredible Hulk, Ozymandias;$6000
Crown Heights, Brooklyn;Batman, Black Panther, Catwoman vs. Avengers, Batgirl, Captain America, Conan the Barbarian, Flash, Kate Spencer, S.T.R.I.P.E., Shadow, Teenage Mutant Ninja Turtles;$11000
Upper West Side, Manhattan;Asterix, Defenders, Judomaster, Static Shock, Stephanie Brown vs. Catwoman;$8000
Koreatown, Manhattan;Black Canary, Raven, Superman vs. Kate Spencer;$3000
Meatpacking District, Manhattan;Defenders, Hellboy, Iron Fist, Kate Spencer vs. Atom, Doctor Strange, Kid Flash;$10000
Meatpacking District, Manhattan;Constantin vs. Adam Strange, Hawkeye, Wasp;$1000
Pelham Gardens, Bronx;Avengers, Captain Marvel, Catwoman, Incredible Hulk, Ozymandias, Ray, Rocket Red, Starfire, Wonder Woman, Zatanna, Zatara vs. Defenders, Orin;$10000
Koreatown, Manhattan;Iron Fist vs. Aquaman, Avengers, Black Canary, Bruce Wayne, Incredible Hulk, Miss Martian, Ozymandias, Plastic Man, Superman, Wasp;$1000
Nolita, Manhattan;Hawkeye vs. Constantin, Elektra, Nite Owl;$3000
Meatpacking District, Manhattan;Doctor Strange, Flash, Ghost Rider, Mas y Menos, Zatanna vs. Defenders;$4000
Upper West Side, Manhattan;Aquaman, Hooded Justice, Nightwing, Oracle vs. Avengers, Batwoman, Incredible Hulk, Iron Man, Plastic Man, Rocketeer;$13000
Roosevelt Island, Manhattan;Wolverine vs. Black Canary, Iron Man;$0
Chinatown, Manhattan;Superman vs. Ant-Man, Batman;$3000
Downtown Brooklyn, Brooklyn;Fire, Incredible Hulk, Plastic Man vs. Catwoman, Judomaster, Teenage Mutant Ninja Turtles, Zatanna;$5000
Long Island City, Queens;Ghost Rider, Teenage Mutant Ninja Turtles vs. Conan the Barbarian, Doc Savage;$3000
Co-Op City, Bronx;Nightwing vs. Cassandra Cain, Kamandi, Shining Knight, Wolverine, Zatanna;$4000
Financial District, Manhattan;Incredible Hulk vs. Rocket Red, Shadow;$1000
Lenox Hill, Manhattan;Huntress, S.T.R.I.P.E., X-Men vs. Zatanna;$5000
Little Italy, Manhattan;Bruce Wayne, Guardians of the Galaxy, Zatanna vs. Conan the Barbarian, Katana, S.T.R.I.P.E., Superman;$1000
Little Italy, Manhattan;Agent Liberty, Captain Marvel, Doc Savage, Elektra, Hawkeye, Jericho, Nightwing, Rocketeer, Supergirl, X-Men vs. Ant-Man, Avengers, Plastic Man, Wasp;$5000
Meatpacking District, Manhattan;Spider-Man vs. Aztec, Daredevil, Incredible Hulk, Ozymandias;$3000
Meatpacking District, Manhattan;Asterix, Conan the Barbarian, Elektra, Iron Man, Thor vs. Wolverine;$9000
Belmont, Bronx;Defenders vs. Doc Savage, Ozymandias;$4000
SoHo, Manhattan;Fire, Iron Fist, John Stewart, Vixen vs. Hawkeye;$2000
Lenox Hill, Manhattan;Agent Liberty, Avengers, Defenders, Guardians of the Galaxy, Iron Man vs. Hawkeye, Wonder Girl;$1000
Upper East Side, Manhattan;Agent Liberty, Ant-Man, Defenders, Hawkeye, Incredible Hulk, Raven, Spider-Man, Supergirl, Teenage Mutant Ninja Turtles vs. Batgirl, Superman;$4000
Flatbush, Brooklyn;Asterix, Batwoman, Bruce Wayne, Captain Marvel, Conan the Barbarian, Green Arrow, Teenage Mutant Ninja Turtles, Zatanna vs. Black Panther, Power Girl, Zatara;$9000
Upper East Side, Manhattan;Aquaman vs. Ant-Man, Atom, Black Canary, Captain America, Starfire;$3000
Lenox Hill, Manhattan;Conan the Barbarian, Green Lantern vs. Arsenal, Wonder Woman;$5000
Morningside Heights, Manhattan;Animal Man vs. Catwoman;$0
Washington Heights, Manhattan;Wonder Woman vs. Superman;$1000
Midtown, Manhattan;Ant-Man, Batwoman, Marvelman vs. Batgirl, Calendar Man, Defenders, Power Girl, X-Men;$2000
Little Italy, Manhattan;Cassandra Cain, Supergirl vs. Guardians of the Galaxy, Robin, Superman, Teenage Mutant Ninja Turtles;$5000
Castle Hill, Bronx;Wolverine vs. Defenders, Mr. Terrific;$1000
Greenpoint, Brooklyn;Rocketeer, Teenage Mutant Ninja Turtles vs. Atom, Black Canary;$5000
DUMBO, Brooklyn;Ant-Man vs. Aisha, Animal Man, Doc Savage;$1000
Little Italy, Manhattan;Daredevil, Doc Savage vs. Robin;$1000
Coney Island, Brooklyn;Black Canary vs. Iron Man, Teenage Mutant Ninja Turtles;$0
Belmont, Bronx;Incredible Hulk, Jonah Hex vs. Rocket;$4000
Nolita, Manhattan;Doctor Strange, Rocketeer vs. Judomaster;$0
Coney Island, Brooklyn;Atom, Iron Man, Lagoon Boy, Miss Martian, Superman vs. Adam Strange, Wasp;$4000
Crown Heights, Brooklyn;Avengers, Captain Marvel, Power Girl, S.T.R.I.P.E. vs. Asterix, Iron Man, Kate Spencer, Supergirl, Superman, Teenage Mutant Ninja Turtles;$11000
Flatbush, Brooklyn;Wonder Woman vs. Batgirl, Calendar Man, Defenders, Elektra, Hal Jordan;$4000
Sunset Park, Brooklyn;Batman, Captain America, Green Arrow, Iron Fist, Kate Spencer, Odin, Star-Spangled Kid vs. Sub-Mariner;$21000
Morningside Heights, Manhattan;Ant-Man, Atom, Batgirl, Calendar Man, Conan the Barbarian, Dick Grayson, Incredible Hulk, Orin, Raven, Ray, Ridder, Rocketeer, Static Shock, Wonder Girl vs. Vixen;$36000
Greenpoint, Brooklyn;Black Canary, Incredible Hulk, Kamandi, Karate Kid, Mary Marvel, Orin, Shadow vs. Avengers, Batman, Catwoman, Defenders, Elektra, Fire, Green Lantern, Hal Jordan, Kid Flash, Plastic Man;$19000
Koreatown, Manhattan;Black Panther, Doctor Strange, Zatanna vs. Agent Liberty, Aquaman, Batman, Captain Marvel, Conan the Barbarian, Guardians of the Galaxy, Krypta, Robin, Spider-Man, X-Men;$7000
Flatbush, Brooklyn;Captain Marvel vs. Batman;$2000
Koreatown, Manhattan;Ant-Man, Marvelman vs. Robin, Rocketeer, Stephanie Brown;$6000
Nolita, Manhattan;Black Canary, Owlman, Plastic Man, Rorschach, Teenage Mutant Ninja Turtles, Vixen, Wolverine vs. Starfire;$14000
Jackson Heights, Queens;Cassandra Cain, Elektra, Ridder, Supergirl vs. Sub-Mariner;$2000
Brooklyn Heights, Brooklyn;Defenders vs. Superman;$1000
Union Square, Manhattan;Ant-Man, Hellboy, Wasp vs. Fire;$4000
Lenox Hill, Manhattan;Hellboy vs. Shadow, Wasp;$3000
Meatpacking District, Manhattan;Doc Savage, Orin, Owlman vs. Conan the Barbarian, Hank Hall, Star-Spangled Kid;$1000
Koreatown, Manhattan;Asterix, Batwoman, Catwoman, Doc Savage, Vixen vs. Green Lantern, Starfire, X-Men;$3000
Roosevelt Island, Manhattan;Kamandi, Ridder, Zatara vs. Batman, Black Canary, Incredible Hulk, Karate Kid, Kate Spencer;$6000
Gramercy Park, Manhattan;Star-Spangled Kid vs. Conan the Barbarian;$3000
Upper East Side, Manhattan;Animal Man vs. Asterix, Misfit, Mr. Terrific, Starfire;$1000
Downtown Brooklyn, Brooklyn;Atom, Huntress vs. Batman, Black Canary, Black Panther, Doc Savage, Iron Fist, Iron Man;$4000
Union Square, Manhattan;Ice vs. Orin, Rocketeer;$3000
Chelsea, Manhattan;Damian Wayne, Iron Man vs. Aquaman, Black Canary, Zatanna;$2000
Koreatown, Manhattan;Agent Liberty, Atom, Batwoman, Black Panther, Captain America, Conan the Barbarian, Guardians of the Galaxy, Huntress, Iron Man, Thor, X-Men vs. Poison Ivy;$71000
Nolita, Manhattan;Aquaman, Black Canary, Black Panther, Cassandra Cain, Catwoman, Defenders, Green Lantern, Kid Flash, Owlman, Ozymandias, Plastic Man, Starfire, Zatanna vs. Avengers, Aztec, Jericho;$0
Belmont, Bronx;Aquaman, Kate Spencer vs. Captain America, Green Arrow, Huntress, Iron Fist, John Stewart, Plastic Man;$3000
Little Italy, Manhattan;Beast Boy, Daredevil vs. Ridder;$8000
Castle Hill, Bronx;Black Canary, Supergirl vs. Fire, Starfire;$2000
Lower East Side, Manhattan;Damian Wayne vs. Atom, Batman;$4000
Flatbush, Brooklyn;Superman vs. Daredevil, Guardians of the Galaxy, Hellboy, Incredible Hulk;$0
Brooklyn Heights, Brooklyn;Kid Flash vs. Superman;$0
Flatbush, Brooklyn;Watchmen vs. Mary Marvel;$0
Union Square, Manhattan;Black Canary, Black Panther, Bruce Wayne, Defenders, Dick Grayson, Shining Knight, Sub-Mariner, Teenage Mutant Ninja Turtles, Terry McGinnis, X-Men vs. Artemis, Asterix, Plastic Man, Wonder Woman, Zatara;$31000
Roosevelt Island, Manhattan;V vs. Catwoman, Kate Spencer;$1000
Greenpoint, Brooklyn;Asterix, Hellboy, Rocketeer vs. Fire;$3000
Tribeca, Manhattan;Elektra, Nightwing, Zatanna vs. Ant-Man, Asterix, Beast Boy, Captain America, Conan the Barbarian, Jericho, Kid Flash, Ray, Thor;$2000
Castle Hill, Bronx;Elektra, Wasp, Zatanna vs. Doctor Strange, Kamandi;$2000
Hell's Kitchen, Manhattan;Batman, Hal Jordan, Shadow vs. Atom, V, Wasp;$0
Brooklyn Heights, Brooklyn;Iron Man vs. Aquaman, Kid Flash, Orin, Rocketeer, X-Men, Zatara;$5000
Lenox Hill, Manhattan;Black Canary, Zatanna vs. Captain America, Teenage Mutant Ninja Turtles;$4000
Koreatown, Manhattan;X-Men vs. Booster Gold, Starfire;$0
SoHo, Manhattan;Ant-Man, Defenders vs. Guardians of the Galaxy, Iron Fist;$3000
Meatpacking District, Manhattan;Agent Liberty, Artemis, Batwoman, Cassandra Cain, Nightwing, Wasp vs. Constantin, Thor;$3000
Crown Heights, Brooklyn;Zatara vs. Ant-Man;$0
Castle Hill, Bronx;Asterix, Captain America, Ghost Rider vs. Hawkeye;$2000
Port Morris, Bronx;Bruce Wayne, Iron Man, Mary Marvel, Starfire vs. Huntress;$7000
Flatbush, Brooklyn;Rorschach vs. Green Lantern, X-Men;$3000
Alphabet City, Manhattan;Asterix vs. John Stewart;$2000
Greenpoint, Brooklyn;Fire vs. Elektra;$0
Lower East Side, Manhattan;Atom, Ghost Rider, Jericho, Starfire vs. Solomon Grundy, Superman;$7000
Lenox Hill, Manhattan;Ghost Rider, Guardians of the Galaxy, Raven, Robin, Tiger vs. Mas y Menos;$5000
Nolita, Manhattan;Daredevil, Hawkeye, Power Girl vs. Star-Spangled Kid;$10000
East Village, Manhattan;Aztec, Incredible Hulk, Marvelman, Owlman, Zatanna vs. Avengers, Raven;$7000
Castle Hill, Bronx;Defenders vs. Elektra, Green Arrow, Ozymandias;$2000
Chinatown, Manhattan;Iron Fist, Ridder vs. Atom, Daredevil, Doctor Strange, Green Lantern, Huntress, Judomaster, Plastic Man, Solomon Grundy, Tiger, Wasp;$20000
Jamaica, Queens;Wasp vs. Green Arrow, Metamorpho;$0
Greenpoint, Brooklyn;Krypta, Spider-Man, Starfire vs. Agent Liberty, Batgirl, Batman, Batwoman, Cassandra Cain, Elektra, Huntress, Iron Man, Marvelman, Nightwing, Power Girl, Sub-Mariner;$5000
Downtown Brooklyn, Brooklyn;Constantin, Iron Fist, Lagoon Boy, Marvelman, Mas y Menos, Robin vs. Poison Ivy;$13000
East Harlem, Manhattan;Catwoman, Hawkeye vs. Robin, Starfire, X-Men;$12000
Lenox Hill, Manhattan;Atom, Bruce Wayne, Incredible Hulk, Lagoon Boy, Oracle vs. Asterix, Black Canary, Cassandra Cain, Mary Marvel, Raven;$4000
Nolita, Manhattan;Aquaman, Batgirl, Batman, Black Canary, Elektra, Fire, Guardians of the Galaxy, Iron Man, Kid Flash, Sub-Mariner, Wildcat, Zatara vs. Ant-Man, Asterix, Atom, Batwoman, Conan the Barbarian, Daredevil, Defenders, Green Lantern, Gypsy, Huntress, Marvelman, Orin, Plastic Man;$29000
Gramercy Park, Manhattan;Black Canary, Cassandra Cain, Conan the Barbarian, Poison Ivy, Shadow vs. Hal Jordan, Kamandi, Lagoon Boy, Orin, Shining Knight, Teenage Mutant Ninja Turtles;$1000
Greenpoint, Brooklyn;Batman, Bruce Wayne, Lagoon Boy vs. Ridder;$6000
Downtown Brooklyn, Brooklyn;Daredevil, Superman vs. Black Panther, Static Shock, Sub-Mariner, Terry McGinnis;$3000
Castle Hill, Bronx;Aisha, Ant-Man, Asterix, Black Canary, Conan the Barbarian, Krypta, Marvelman, Mas y Menos, Rocketeer, Supergirl vs. Owlman;$2000
Washington Heights, Manhattan;S.T.R.I.P.E., Vixen vs. Captain America, Catwoman, Orin;$1000
Harlem, Manhattan;Incredible Hulk vs. Aquaman, Pantha;$0
Belmont, Bronx;Asterix, Ghost Rider, Poison Ivy, Robin, Tiger, Vixen vs. Ant-Man, Rocket Red, Teenage Mutant Ninja Turtles;$9000
Downtown Brooklyn, Brooklyn;Beast Boy, Black Canary, Black Panther, Guardians of the Galaxy, Power Girl, Rocketeer, Star-Spangled Kid, Teenage Mutant Ninja Turtles vs. Ant-Man, Batgirl, Elektra, Plastic Man;$11000
East Village, Manhattan;Black Panther vs. Teenage Mutant Ninja Turtles;$2000
SoHo, Manhattan;Plastic Man vs. Kate Spencer, Marvelman;$1000
Crown Heights, Brooklyn;Ant-Man, Asterix, Avengers, Black Canary, Captain America, Green Arrow, Guardians of the Galaxy, Iron Man, Lagoon Boy, Marvelman, Mary Marvel, Miss Martian, Owlwoman, Ozymandias, Phantom Lady, Robin, Speedy, Star-Spangled Kid, Teenage Mutant Ninja Turtles, X-Men, Zatara vs. Booster Gold, Judomaster, Supergirl;$25000
East Village, Manhattan;Avengers, Constantin, Kamandi, Superman vs. Damian Wayne, Daredevil, Ghost Rider, Teenage Mutant Ninja Turtles, Zatanna;$11000
Castle Hill, Bronx;Ant-Man, Wasp vs. Captain America, Defenders, Plastic Man, Raven, Tiger;$4000
Flushing, Queens;Kid Flash vs. Incredible Hulk, Raven;$1000
Gramercy Park, Manhattan;Captain America, Green Lantern, Guardians of the Galaxy, Krypta, Mary Marvel, X-Men vs. Defenders, Wasp;$11000
Castle Hill, Bronx;Batwoman, Gangbuster vs. Black Panther, Kamandi;$3000
Chinatown, Manhattan;Ghost Rider vs. Bronze Tiger;$2000
Roosevelt Island, Manhattan;Ozymandias, Sub-Mariner vs. Incredible Hulk;$4000
Castle Hill, Bronx;Animal Man, Aquaman, Batwoman, Bruce Wayne, Dollar Bill, Green Arrow, Katana, Marvelman, Mr. Terrific, Spider-Man, Sub-Mariner, Teenage Mutant Ninja Turtles, Wasp, Zatanna, Zatara vs. Tiger;$5000
Castle Hill, Bronx;Defenders, Iron Man vs. Batgirl, Doctor Strange, Gypsy, Lagoon Boy, Starfire;$0
Meatpacking District, Manhattan;Zatanna vs. Guardians of the Galaxy, Kate Spencer;$2000
Roosevelt Island, Manhattan;Incredible Hulk vs. Aquaman, Hawkeye, Robin;$4000
Williamsburg, Brooklyn;Bronze Tiger, Bruce Wayne, Guardians of the Galaxy, Judomaster, Plastic Man, Spider-Man, Wasp, Wolverine, Wonder Woman vs. Black Panther, Sub-Mariner, Teenage Mutant Ninja Turtles;$13000
Castle Hill, Bronx;Beast Boy, Black Canary, Damian Wayne, Doc Savage, Gangbuster, Hawkeye, Lagoon Boy, Marvelman, Owlman, Robin, Sub-Mariner, Superman, Watchmen, Zatanna vs. Batman, Batwoman, Cassandra Cain, Rocketeer, Supergirl;$0
Long Island City, Queens;Cyborg, Lagoon Boy, Supergirl vs. Ant-Man, Black Panther, Hawkeye;$7000
Castle Hill, Bronx;Captain America, Marvelman, Spider-Man vs. Animal Man, Batman, Doc Savage, Incredible Hulk, Teenage Mutant Ninja Turtles;$13000
Little Italy, Manhattan;Captain Metropolis, Guardians of the Galaxy, Nightwing vs. Defenders, Incredible Hulk;$1000
Washington Heights, Manhattan;Wasp, Zatanna vs. Watchmen;$1000
Downtown Brooklyn, Brooklyn;Avengers, Robin vs. Conan the Barbarian, Marvelman;$4000
Williamsburg, Brooklyn;Captain Marvel, Daredevil, Elektra, Plastic Man, Starfire, Wasp vs. Ant-Man, Conan the Barbarian, Kate Spencer, Ridder;$6000
Tribeca, Manhattan;Hal Jordan, Lagoon Boy vs. Booster Gold, Conan the Barbarian, Elektra, Shadow, X-Men;$0
Meatpacking District, Manhattan;Captain Marvel, Incredible Hulk vs. Doctor Strange;$0
Washington Heights, Manhattan;Captain America, Elektra, Sub-Mariner vs. Stephanie Brown;$1000
Pelham Gardens, Bronx;Atom, Batwoman, Captain Marvel, Green Arrow, Supergirl vs. Gangbuster, Iron Man, V, Wasp;$25000
Little Italy, Manhattan;Asterix, Gypsy, Kamandi, Kate Spencer, Mary Marvel, Wasp vs. Ant-Man, Avengers, Comedian;$0
Castle Hill, Bronx;Agent Liberty, Krypta, Raven, Robin, Rocket, Rocketeer, Zatanna vs. Conan the Barbarian, Guardians of the Galaxy, Spider-Man, Starfire;$0
Harlem, Manhattan;Animal Man, Marvelman vs. Batgirl, Gangbuster, Kamandi;$12000
Castle Hill, Bronx;Ant-Man, Batman, Bruce Wayne, Ghost Rider, Huntress, Iron Man, Lagoon Boy, Martian Manhunter, Shadow, Starfire, Static Shock, Tiger vs. Batgirl, Plastic Man, Superman;$24000
Hell's Kitchen, Manhattan;Asterix, Red Tornado vs. Ghost Rider, Gypsy, Krypta, Rocketeer, Spider-Man;$6000
Hell's Kitchen, Manhattan;Batman vs. Ant-Man, Plastic Man, Rocketeer, Wasp;$3000
Coney Island, Brooklyn;Judomaster vs. Blue Beetle, Captain Marvel, Elektra;$3000
DUMBO, Brooklyn;Avengers, Doc Savage, Incredible Hulk, Orin, Shadow vs. Conan the Barbarian, Kate Spencer;$12000
Morningside Heights, Manhattan;Animal Man vs. Agent Liberty;$1000
Gramercy Park, Manhattan;Batgirl vs. Black Canary, Captain America, Elektra, Impulse, Incredible Hulk, Jonah Hex, Orin, Power Girl, Tiger, Wasp;$18000
Gramercy Park, Manhattan;Aquaman, Black Canary, Captain America, Conan the Barbarian, Cyborg, Jonah Hex vs. Agent Liberty, Daredevil, Marvelman, Mr. Terrific, Poison Ivy, Rocketeer, Shining Knight, Teenage Mutant Ninja Turtles;$18000
Downtown Brooklyn, Brooklyn;Captain Marvel, Doctor Strange, Nightwing, Wonder Woman vs. Asterix, Blue Beetle, Stephanie Brown;$5000
Koreatown, Manhattan;Iron Fist vs. Atom, Conan the Barbarian, Dick Grayson, Doc Savage, Elektra, Green Arrow, Iron Man, Rocketeer, Teenage Mutant Ninja Turtles, Zatara;$21000
Morningside Heights, Manhattan;Ghost Rider vs. Avengers;$2000
Castle Hill, Bronx;Artemis, Starfire vs. Hawkeye, Mary Marvel, Tiger;$7000
Little Italy, Manhattan;Beast Boy, Green Lantern vs. Artemis, Daredevil, Hawkeye, Incredible Hulk, Wolverine;$12000
Little Italy, Manhattan;Supergirl vs. Asterix, Black Canary, Captain Metropolis, Guardians of the Galaxy, Hawkeye, Iron Fist, Kamandi, Zatanna;$2000
Alphabet City, Manhattan;Black Canary, Calendar Man, Green Arrow, Judomaster vs. Animal Man, Asterix, Owlman;$4000
Gramercy Park, Manhattan;Batman, Green Lantern vs. Iron Man, Ridder;$12000
Chinatown, Manhattan;Avengers, Ridder vs. Doctor Strange, Ozymandias;$8000
East Village, Manhattan;Superman vs. Starfire;$1000
Park Slope, Brooklyn;Aquaman vs. Lagoon Boy;$0
Little Italy, Manhattan;Avengers, Captain America, Dollar Bill, Hawkeye, Lagoon Boy, Misfit, Solomon Grundy, Starfire, Supergirl, Watchmen, X-Men vs. Fire, Incredible Hulk, Rocketeer;$0
Alphabet City, Manhattan;Shadow vs. Lagoon Boy, Spider-Man;$3000
Brooklyn Heights, Brooklyn;Atom, Black Canary, Bronze Tiger, Impulse, Kamandi, Lagoon Boy, Orin, Raven, Spider-Man, Starfire, Wasp, Wonder Girl vs. Cassandra Cain, Green Lantern;$2000
Greenpoint, Brooklyn;Avengers, Rocketeer, Tiger vs. Booster Gold, Kamandi;$2000
Washington Heights, Manhattan;Iron Man vs. Avengers, Defenders, Fire, Judomaster, Robin, Supergirl;$1000
Washington Heights, Manhattan;Animal Man, Artemis, Atom, Doc Savage, Green Arrow, Guardians of the Galaxy, Hawkeye, Huntress, Incredible Hulk, Iron Fist, Jonah Hex, Karate Kid, Kate Spencer, Kid Flash, Lagoon Boy, Plastic Man, Raven, Ridder, Robin, Silk Spectre, Star-Spangled Kid, Stephanie Brown, Sub-Mariner, Superman, Wolverine, Wonder Woman vs. Aisha, Asterix, Captain America, Elektra, Spider-Man, Thor, Wasp, Watchmen, Zatara;$35000
Greenpoint, Brooklyn;Captain Marvel, Mas y Menos vs. Agent Liberty;$0
Chinatown, Manhattan;Calendar Man vs. Guardians of the Galaxy, Impulse, Plastic Man, Wasp;$1000
Nolita, Manhattan;Batwoman, Bruce Wayne, Doc Savage, Doctor Strange, Nightwing, Raven, Tiger, Wonder Woman vs. Iron Fist;$5000
Hell's Kitchen, Manhattan;Hawkeye vs. Green Arrow, Hal Jordan, Kate Spencer, Red Arrow, Superman;$5000
Harlem, Manhattan;Hal Jordan vs. Animal Man, Atom, Batman, Captain America, Kate Spencer, Miss Martian, Mr. Terrific, Rocketeer, Stephanie Brown, Tiger;$0
Jamaica, Queens;Aztec, Captain Metropolis, Damian Wayne, Impulse, Superman vs. Karate Kid;$4000
Koreatown, Manhattan;Avengers, Captain America, Daredevil, Elektra, Green Arrow, Guardians of the Galaxy, Superman, Vixen, Zatanna vs. Black Canary, Doc Savage, Starfire;$16000
Crown Heights, Brooklyn;Plastic Man, Spider-Man vs. Defenders, Gypsy, Poison Ivy;$0
Flatbush, Brooklyn;Asterix, Black Canary, Catwoman, Doc Savage, Elektra, Hal Jordan, Iron Man, Rocket, Teenage Mutant Ninja Turtles, Wasp, Wildcat, Wolverine vs. Aisha, Moth Man, Poison Ivy, Sub-Mariner;$16000
Sunset Park, Brooklyn;Ant-Man vs. Agent Liberty, Guardians of the Galaxy;$2000
Crown Heights, Brooklyn;Avengers, Incredible Hulk, Kate Spencer, Plastic Man, Power Girl, Wasp, Wonder Woman vs. Ant-Man, Batwoman, Catwoman, Robin, Spider-Man, Zatara;$12000
Castle Hill, Bronx;Conan the Barbarian vs. Avengers, Batgirl, Rocketeer, Shadow;$4000
Bedford Park, Bronx;Cassandra Cain, Iron Man vs. Defenders, Huntress, Incredible Hulk, Marvelman;$8000
Upper West Side, Manhattan;Conan the Barbarian vs. Green Lantern, Katana, Kid Flash;$3000
Brooklyn Heights, Brooklyn;Beast Boy, Black Panther, Bruce Wayne, Doctor Strange, Impulse, Krypta, Lagoon Boy, Rocketeer, Shadow vs. Plastic Man, Shining Knight, Wonder Woman;$5000
Bushwick, Brooklyn;Avengers, Cassandra Cain, Orin, Robin, Zatanna vs. Defenders, Huntress;$0
Lower East Side, Manhattan;Wolverine, X-Men vs. Ghost Rider;$0
Downtown Brooklyn, Brooklyn;Watchmen vs. Atom, Black Panther, Cyborg, Elektra, Green Arrow, Ice, Ozymandias, S.T.R.I.P.E., Teenage Mutant Ninja Turtles, V, Wolverine, Zatara;$17000
Flatbush, Brooklyn;Huntress, Orin, Ozymandias, Raven, Shadow, Wonder Woman vs. Ant-Man, Atom Smasher;$4000
Flatbush, Brooklyn;Aquaman, Spider-Man vs. Catwoman, Ridder, Superman;$3000
Roosevelt Island, Manhattan;Incredible Hulk, Mary Marvel vs. Solomon Grundy;$2000
Midtown, Manhattan;Plastic Man vs. Artemis, Cyborg, Sub-Mariner, Wolverine;$0
SoHo, Manhattan;Doctor Strange, Wasp vs. Watchmen;$0
Brooklyn Heights, Brooklyn;Incredible Hulk, Karate Kid, Shadow vs. Ant-Man, Asterix, Conan the Barbarian;$3000
