Location;Participants;Cost
Scarif, Manhattan;Cliegg Lars, Sergeant Kreel vs. Agent Kallus, Joh Yowza;$4000
Mustafar, The Empire;Captain Panaka, Cut Lawquane, Karina the Great, Leia Organa, Palpatine, Queen Miraj Scintel, Rorschach, Wedge Antilles, Zuckuss vs. Avengers, Echuu Shen-Jon;$6000
Concord Dawn, Rebel Alliance;Anakin Skywalker, R2-D2 vs. Beru Whitesun Lars, Cliegg Lars, Moff Tiaan Jerjerrod, Moralo Eval, Sarkli, Wolverine;$4000
Dathomir, Rebel Alliance;Captain Roos Tarpals, Count Dooku, Grand Moff Wilhuff Tarkin, Moff Delian Mors, Ric Olié, Shara Bey vs. Admiral Conan Antonio Motti, X-Men;$2000
Dathomir, Rebel Alliance;Aurra Sing, Captain Gregor, K-2SO, Tessek vs. Lama Su;$14000
Tatooine, Manhattan;Cassian Andor, Ciena Ree, Greeata Jendowanian, Sinjir Rath Velus vs. Baze Malbus, Bo-Katan Kryze, Greedo;$7000
Yavin, Manhattan;Lando Calrissian, Queen Miraj Scintel vs. Garindan, Joclad Danva, Ree-Yees;$5000
Alderaan, Rebel Alliance;Chirrut Îmwe, Inquisitors, Iron Man, Nute Gunray vs. Arvel Crynyd, Asajj Ventress, Dexter Jettster, Jyn Erso, Lando Calrissian, Lieutenant Thire, R2-Q5, Rogue Squadron, Sifo-Dyas, Watchmen, Wedge Antilles;$19000
Kashyyyk, The Empire;Taun We, Tikkes vs. Faro Argyus;$3000
Jedha, The Empire;Ben Quadinaros, Clone 99, Han Solo, Leia Organa, Queen Apailana, Rako Hardeen, Saché vs. Cassian Andor, R2-D2, Watchmen;$2000
Scarif, Manhattan;Clone Trooper Fives, Commander Wolffe, Po Nudo Paul vs. Alton Kastle, Avengers, Queen Miraj Scintel;$7000
Onderon, Manhattan;Aurra Sing, Logray, Mercurial Swift vs. Luke Skywalker;$2000
Mustafar, The Empire;Admiral Gial Ackbar vs. Chewbacca, Governor Arihnda Pryce, Momaw Nadon, Palpatine, Teedo;$9000
Alderaan, Rebel Alliance;Janus Greejatus vs. Pong Krell;$0
Dathomir, Rebel Alliance;Mercurial Swift vs. Baze Malbus, Count Dooku, Embo, Grand Inquisitor, Ima-Gun Di, Jobal Naberrie, Jyn Erso, Padmé Amidala, Rabé, Ree-Yees, San Hill, Tion Medon;$50000
Geonosis, The Empire;Leia Organa vs. Sabine Wren;$0
Jedha, The Empire;Baze Malbus, Longo Two-Guns vs. Lyra Erso, Obi-Wan Kenobi;$2000
Kashyyyk, The Empire;X-Men vs. 4-LOM, Embo, Lott Dod, Moralo Eval, Ransolm Casterfo, The Bendu, Thor, U9-C4, Watchmen;$7000
Tatooine, Manhattan;Iron Man vs. Orson Krennic;$1000
Mon Cala, The Empire;San Hill vs. C-3PO, FN-2199, Iron Man, Klaatu, Lando Calrissian, Ody Mandrell, Wullf Yularen;$13000
Bespin, Rebel Alliance;Admiral Gial Ackbar, BB-8, Commander Bly, Leia Organa, Mercurial Swift vs. Luminara Unduli, Rey;$2000
Bespin, Rebel Alliance;Mawhonic vs. Joclad Danva, Onaconda Farr;$2000
Scarif, Manhattan;Oola, Padmé Amidala, Taun We, Ziro the Hutt vs. Han Solo, Kylo Ren, Lando Calrissian, Ree-Yees;$7000
Rodia, Manhattan;Inspector Thanoth, Teedo vs. Pooja Naberrie;$4000
Kashyyyk, The Empire;Cliegg Lars vs. Ahsoka Tano, Count Dooku, Gavyn Sykes, Leia Organa, Wolverine, Yané;$2000
Sullust, Manhattan;General Crix Madine, Inquisitors, K-2SO, Lumat, Padmé Amidala, R2-D2, Rabé, Romba, Shmi Skywalker, Sinjir Rath Velus, Taun We vs. Armitage Hux, Cliegg Lars, Jas Emari, Pooja Naberrie, R2-KT, X-Men;$6000
Yavin, Manhattan;Sinjir Rath Velus vs. Han Solo, Lieutenant Thire, Teedo, Watchmen;$1000
Onderon, Manhattan;Darth Plagueis vs. Ahri Raas, Count Dooku, Eneb Ray, Finn, Norra Wexley, Zam Wesell;$5000
Nal Hutta, The Empire;Sergeant Kreel vs. Inquisitor: Seventh Sister, Salacious B. Crumb;$7000
Kashyyyk, The Empire;Admiral Firmus Piett, Berch Teller, Cliegg Lars, Lieutenant Thire, Palpatine, Rae Sloane, Teedo, Wat Tambor, Watchmen, Wolverine, Wuher vs. Malakili, Rappertunie, Rinnrivin Di, Tion Medon;$27000
Mandalore, The Empire;R2-KT vs. Avengers, Che Amanwe Papanoida, Luke Skywalker, Ona Nobis, Wedge Antilles, Wolverine;$11000
Yavin, Manhattan;Agen Kolar, Captain Phasma, Count Dooku, Jango Fett, Lando Calrissian, Plo Koon, Taun We, Wuher vs. Adi Gallia, BB-8, Clone Trooper Fives, Doctor Cornelius, Jubnuk, Poe Dameron, Sarkli, Zev Senesca;$45000
Tatooine, Manhattan;Admiral Firmus Piett, Finn, Iron Man, Rorschach, Taun We, Thor, Yoda vs. Chirrut Îmwe, IG-88, Ima-Gun Di, Teebo, X-Men;$9000
Lothal, The Empire;Finn, Lama Su, Lumat vs. 4-LOM, Admiral Conan Antonio Motti, Aurra Sing, Baze Malbus, Bren Derlin, Cassian Andor, Count Dooku, Ebe E. Endocott, Lando Calrissian, Leia Organa, Max Rebo, Nahdar Vebb, R2-KT, Rako Hardeen, Shaak Ti, Wolverine;$32000
Concord Dawn, Rebel Alliance;2-1B, Obi-Wan Kenobi, Oola, R2-D2, Rey, Xamuel Lennox vs. Cassian Andor, Mina Bonteri;$0
Coruscant, Rebel Alliance;Baze Malbus vs. 2-1B, Alton Kastle, Avengers, Captain Lorth Needa, Clone Trooper Fives, Dexter Jettster, Jek Tono Porkins, Padmé Amidala, Pooja Naberrie, Rorschach, Royal Guard, Savage Opress, X-Men;$8000
Tatooine, Manhattan;Shaak Ti vs. Oola, Saché, Saw Gerrera, Xamuel Lennox;$0
Bespin, Rebel Alliance;Anakin Skywalker, BB-8, Beru Whitesun Lars, Ciena Ree, Ezra Bridger, Joph Seastriker, Kylo Ren, Moff Tiaan Jerjerrod, Queen Jamillia, Rey, Sergeant Kreel vs. Captain Phasma;$15000
Kashyyyk, The Empire;Nute Gunray, Sora Bulq vs. Beru Whitesun Lars, Krayn, Wat Tambor, Watchmen;$1000
Scarif, Manhattan;General Maximilian Veers vs. Asajj Ventress, Kylo Ren;$5000
Kashyyyk, The Empire;Chewbacca vs. Onaconda Farr, Tessek, Wuher;$8000
Yavin, Manhattan;Ahri Raas, Brendol Hux, R2-KT, Shmi Skywalker vs. Admiral Firmus Piett, Inquisitors, Moff Tiaan Jerjerrod;$9000
Bespin, Rebel Alliance;Gungi, Karina the Great vs. Sergeant Kreel;$1000
Concord Dawn, Rebel Alliance;Avengers, Bazine Netal, Bren Derlin, Riff Tamson, Rogue Squadron vs. Moralo Eval, Niima the Hutt;$8000
Concord Dawn, Rebel Alliance;Longo Two-Guns, Rogue Squadron vs. Gallius Rax, Gardulla the Hutt, Inquisitor: Sixth Brother, Lando Calrissian;$3000
Hosnian Prime, The Empire;Ahsoka Tano, Jas Emari, Malakili, Mawhonic, Savage Opress, Sinjir Rath Velus vs. Barada, Sarkli;$17000
Onderon, Manhattan;Asajj Ventress, Finis Valorum, Kylo Ren vs. Avengers, FN-2199, Poe Dameron, Queen Miraj Scintel, Sergeant Kreel, Watchmen;$6000
Onderon, Manhattan;Luke Skywalker vs. Iron Man;$0
Jedha, The Empire;Anakin Skywalker, Gallius Rax, Joh Yowza, Queen Apailana vs. Admiral Conan Antonio Motti, Cassian Andor, Grand Moff Wilhuff Tarkin;$7000
Onderon, Manhattan;Boss Rugor Nass, Nute Gunray vs. Ellé, Embo, Unkar Plutt, Watchmen;$2000
Kamino, The Empire;Darth Bane, Jobal Naberrie, Thor vs. Zuckuss;$3000
Jedha, The Empire;Lieutenant Watts, Mon Mothma, Ric Olié vs. C-3PO;$3000
Dathomir, Rebel Alliance;Arvel Crynyd, Avengers, FN-2199, Oola vs. Wullf Yularen;$6000
Bespin, Rebel Alliance;Cordé, Norra Wexley, Rinnrivin Di vs. Avengers, Luke Skywalker, Onaconda Farr, Sebulba;$16000
Concord Dawn, Rebel Alliance;Poe Dameron vs. Sergeant Kreel;$2000
Onderon, Manhattan;Chief Chirpa, Gonk droid, R2-KT vs. Captain Roos Tarpals, Commander Bly, Rorschach, Shaak Ti;$4000
Alderaan, Rebel Alliance;Ebe E. Endocott, Finn, Kylo Ren vs. 4-LOM, Beru Whitesun Lars, Queen Breha Organa;$1000
Onderon, Manhattan;Avengers, Cassian Andor, Han Solo vs. Captain Lorth Needa, Captain Panaka, Dak Ralter, Lieutenant Watts, Longo Two-Guns, Queen Apailana, Rabé;$19000
Bespin, Rebel Alliance;Jango Fett vs. Avengers, Lux Bonteri, Sergeant Kreel, Shara Bey;$6000
Tatooine, Manhattan;2-1B, R2-D2 vs. Jango Fett, Lando Calrissian, Tessek;$1000
Scarif, Manhattan;Admiral Conan Antonio Motti, Shara Bey vs. Padmé Amidala;$0
Scarif, Manhattan;K-2SO, Letta Turmond, Moff Tiaan Jerjerrod vs. Avengers, Beru Whitesun Lars, Nute Gunray;$4000
Bespin, Rebel Alliance;4-LOM, Ezra Bridger vs. Brendol Hux, Dengar, Finn, Norra Wexley, Poggle the Lesser, R2-D2;$20000
Geonosis, The Empire;2-1B, Kylo Ren, Luminara Unduli, Po Nudo Paul, X-Men vs. Jyn Erso, Shaak Ti;$9000
Geonosis, The Empire;Bo-Katan Kryze, Cordé, Jas Emari, Leia Organa, Luminara Unduli, Palpatine, Paploo, Queen Miraj Scintel, Shaak Ti, Sora Bulq, Teedo vs. 0-0-0, Aiolin and Morit Astarte, Alton Kastle, Daultay Dofine, General Crix Madine, General Grievous, Jan Dodonna, Kylo Ren, Longo Two-Guns, Mawhonic, Mother Talzin, Oppo Rancisis, Rey, Sabine Wren, Shu Mai;$35000
Kashyyyk, The Empire;Han Solo vs. Che Amanwe Papanoida, Ciena Ree, Luminara Unduli, Queen Miraj Scintel, Sana Starros, Shara Bey, Thor, Tion Medon;$16000
Onderon, Manhattan;Baze Malbus, Captain Jeremoch Colton, Oppo Rancisis, Queen Miraj Scintel, R2-KT vs. Bazine Netal, Count Dooku, Rogue Squadron, Watchmen;$7000
Sullust, Manhattan;Aiolin and Morit Astarte, Cliegg Lars, Lux Bonteri, Romba vs. Almec, Alton Kastle, General Carlist Rieekan, Inquisitors, Kylo Ren, Zam Wesell;$4000
Kashyyyk, The Empire;Lama Su, Rae Sloane, Saelt-Marae, Unkar Plutt vs. Lyn Me, Obi-Wan Kenobi;$0
Alderaan, Rebel Alliance;2-1B, Avengers, General Carlist Rieekan, Ody Mandrell, Oppo Rancisis vs. Lama Su;$2000
Endor, Rebel Alliance;Captain Roos Tarpals, Ezra Bridger, Moff Tiaan Jerjerrod, R2-KT, Watchmen, Wolverine vs. Admiral Gial Ackbar, Alton Kastle, Cliegg Lars;$5000
Yavin, Manhattan;K-2SO, TC-14 vs. Cassian Andor, Echuu Shen-Jon, Padmé Amidala, Sifo-Dyas;$2000
Hell's Kitchen, Manhattan;Warok vs. Bren Derlin, Clone Trooper Fives, Norra Wexley, Royal Guard, Salacious B. Crumb, X-Men;$18000
Kashyyyk, The Empire;Qui-Gon Jinn vs. Aurra Sing, Paploo, Po Nudo Paul;$3000
Bespin, Rebel Alliance;Leia Organa vs. Borvo the Hutt, Captain Phasma, Riley;$0
Lothal, The Empire;Avengers, Watto vs. Jar Jar Binks, Longo Two-Guns;$8000
Concord Dawn, Rebel Alliance;Jova Tarkin vs. Bren Derlin;$5000
Subterrel, Manhattan;Echuu Shen-Jon vs. Count Dooku, Rorschach;$2000
Concord Dawn, Rebel Alliance;Jan Dodonna, Ketsu Onyo vs. Alton Kastle, Asajj Ventress, Avengers, Dormé, Greedo, Iron Man, Riff Tamson, San Hill;$4000
Concord Dawn, Rebel Alliance;Bodhi Rook vs. Almec;$1000
Alderaan, Rebel Alliance;Lieutenant Thire vs. Riley;$3000
Jedha, The Empire;Captain Phasma, Moff Tiaan Jerjerrod, U9-C4 vs. Cassian Andor, Kylo Ren, Oppo Rancisis, Royal Guard, San Hill;$25000
Corellia, Rebel Alliance;8D8, Chirrut Îmwe, Cliegg Lars, Commander Fil, Commander Jet, Kanan Jarrus, Kaydel Ko Connix, Malé-Dee, Mercurial Swift, Po Nudo Paul, Tessek, Wullf Yularen vs. AP-5, Boba Fett, Garindan, Gungi, Inquisitors, Luminara Unduli;$11000
Rodia, Manhattan;AP-5, Jubnuk, Lott Dod, Lux Bonteri, R4-P17, Rukh, U9-C4 vs. Avengers, Finn, Jar Jar Binks, Moteé, Oppo Rancisis, Quinlan Vos, Sana Starros, Shu Mai, Yoda;$24000
Onderon, Manhattan;Admiral Conan Antonio Motti, Chewbacca, Greer Sonnel, Meena Tills, Wuher vs. Jyn Erso;$8000
Kamino, The Empire;Paploo vs. Bazine Netal, Bodhi Rook, Captain Jeremoch Colton, Han Solo, Logray, Zam Wesell;$9000
Tatooine, Manhattan;Black Krrsantan vs. Moff Tiaan Jerjerrod;$0
Corellia, Rebel Alliance;BB-8, BT-1, Baze Malbus, Cliegg Lars, Jubnuk, Luminara Unduli, Sinjir Rath Velus vs. Avengers, Captain Gregor, Gavyn Sykes, Saché, Tion Medon;$23000
Endor, Rebel Alliance;Captain Panaka, Chirrut Îmwe, Grand Moff Wilhuff Tarkin, Han Solo, Jyn Erso, Kylo Ren, Nien Nunb, X-Men vs. Agent Kallus, Boba Fett, Captain Phasma, Cassian Andor, Moff Delian Mors;$21000
Nal Hutta, The Empire;Poggle the Lesser, Tulon Voidgazer vs. Anakin Skywalker;$6000
Subterrel, Manhattan;Captain Rex, Ona Nobis vs. Adi Gallia, Boss Rugor Nass, Onaconda Farr, Shaak Ti, Taun We;$0
Nal Hutta, The Empire;Alton Kastle vs. Arvel Crynyd, Galen Erso, Mother Talzin, Rorschach;$1000
Jedha, The Empire;Alton Kastle, Asajj Ventress, Bren Derlin, Cordé, Ona Nobis, Padmé Amidala, R2-KT, Sinjir Rath Velus, Teedo, Tessek, Wullf Yularen vs. Jan Dodonna, Logray, Moff Delian Mors, Watchmen, Wolverine;$16000
Kashyyyk, The Empire;Avengers vs. Captain Rex, Huyang, Moteé, Padmé Amidala;$3000
Yavin, Manhattan;Avengers, Obi-Wan Kenobi, R2-Q5 vs. Admiral Gial Ackbar;$6000
Concord Dawn, Rebel Alliance;Ben Quadinaros, Ryoo Naberrie, Teedo vs. Sora Bulq;$7000
Kamino, The Empire;R5-D4 vs. 0-0-0, Admiral Conan Antonio Motti, Lyn Me, RA-7, Rako Hardeen, Sinjir Rath Velus, Sly Moore;$16000
Dathomir, Rebel Alliance;Admiral Terrinald Screed, Niima the Hutt vs. Thor;$0
Onderon, Manhattan;Watchmen vs. Avengers, Beru Whitesun Lars, Darth Maul, Embo, Padmé Amidala, Tulon Voidgazer;$15000
Bespin, Rebel Alliance;Avengers vs. Rey;$1000
Sullust, Manhattan;Bo-Katan Kryze, Boba Fett, Brendol Hux, Chewbacca, Cordé, Eli Vanto, Ketsu Onyo, Moff Tiaan Jerjerrod, Quinlan Vos vs. Po Nudo Paul, Quarrie;$34000
Kashyyyk, The Empire;Rey, Sarkli vs. Grand Admiral Thrawn, Po Nudo Paul, R2-D2, Ree-Yees;$1000
Alderaan, Rebel Alliance;General Maximilian Veers vs. Dexter Jettster, FN-2199, Tion Medon;$2000
Tatooine, Manhattan;Aiolin and Morit Astarte, Dexter Jettster, Iron Man, Joh Yowza, Letta Turmond, Luke Skywalker, Nahdar Vebb vs. Alton Kastle, Baze Malbus, Boba Fett, Moff Tiaan Jerjerrod, Qui-Gon Jinn;$16000
Bespin, Rebel Alliance;Alton Kastle, Onaconda Farr, Teedo vs. Iron Man, Ona Nobis;$11000
Mandalore, The Empire;Moralo Eval vs. Cliegg Lars, Malé-Dee, Pong Krell, R2-D2;$0
Hell's Kitchen, Manhattan;0-0-0, Leia Organa, Rey, Salacious B. Crumb vs. Beru Whitesun Lars, Commander Wolffe, Jobal Naberrie, R2-Q5;$13000
Dathomir, Rebel Alliance;Ben Quadinaros, The Bendu, Wittin vs. Avengers, Count Dooku, Kit Fisto;$7000
Kashyyyk, The Empire;Jek Tono Porkins vs. Ezra Bridger, Pharl McQuarrie, Poe Dameron;$6000
Mandalore, The Empire;Captain Lorth Needa, Ona Nobis, Palpatine, Sana Starros vs. Commander Fox, Dapp, Mercurial Swift, Riff Tamson;$4000
Onderon, Manhattan;Mister Bones vs. Leia Organa, Malakili, Queen Miraj Scintel, R2-D2;$5000
Dathomir, Rebel Alliance;Sergeant Kreel, X-Men vs. Alton Kastle;$4000
Lothal, The Empire;0-0-0, Asajj Ventress, Bazine Netal, Cliegg Lars, Clone Trooper Dogma, Commander Wolffe, FX-7, Quarrie, Salacious B. Crumb vs. Commander Fox, Dengar, Han Solo, Inquisitor: Fifth Brother, Watchmen, X-Men;$3000
Scarif, Manhattan;4-LOM, Bossk, Lama Su, Lando Calrissian, Quinlan Vos, R2-D2, Tarfful vs. Jango Fett, Jyn Erso;$9000
Tatooine, Manhattan;Captain Lorth Needa, Orson Krennic, Ree-Yees, Wedge Antilles vs. Faro Argyus, Rorschach;$3000
Bespin, Rebel Alliance;Jom Barell, Ketsu Onyo vs. Savage Opress, Sinjir Rath Velus;$0
Coruscant, Rebel Alliance;Mace Windu vs. Boba Fett;$1000
Concord Dawn, Rebel Alliance;Even Piell, General Crix Madine, Wolverine vs. Bib Fortuna, Gungi, Shmi Skywalker;$0
Nal Hutta, The Empire;Clone 99, Salacious B. Crumb vs. Admiral Gial Ackbar, Commander Wolffe, Dengar, Dormé, Jan Dodonna;$1000
Mon Cala, The Empire;General Crix Madine vs. Orson Krennic, San Hill;$2000
Kashyyyk, The Empire;Cad Bane, Daultay Dofine, Grand Admiral Thrawn, Inquisitors, Nien Nunb, Rey, Sinjir Rath Velus, Sola Naberrie, U9-C4, Wolverine vs. Boba Fett, Qui-Gon Jinn, R2-D2, Sebulba;$36000
Yavin, Manhattan;AP-5, Bazine Netal, Beru Whitesun Lars, Bo-Katan Kryze, Captain Gregor, Chewbacca, Cliegg Lars, Dengar, Finn, Inquisitors, Jom Barell, Kylo Ren, Ody Mandrell, Oppo Rancisis, PZ-4CO, Quinlan Vos, San Hill, Wolverine vs. Avengers, Commander Fil;$16000
Geonosis, The Empire;Pong Krell vs. Leia Organa, Quarrie, Savage Opress, Watchmen;$5000
Scarif, Manhattan;Adi Gallia, Admiral Gial Ackbar, Boss Rugor Nass vs. Commander Wolffe;$2000
Concord Dawn, Rebel Alliance;C-3PO vs. Iron Man;$3000
Tatooine, Manhattan;Obi-Wan Kenobi, Onaconda Farr, Rey, San Hill, Watchmen vs. Iron Man;$0
Hell's Kitchen, Manhattan;Boba Fett, Logray, Shaak Ti vs. Chirrut Îmwe, Jobal Naberrie, Joph Seastriker, R4-G9, Rey, Sifo-Dyas;$0
Dathomir, Rebel Alliance;Hondo Ohnaka, Lando Calrissian, Luminara Unduli vs. Han Solo, Meena Tills, Nute Gunray, Rey;$13000
Subterrel, Manhattan;Ahsoka Tano, R2-Q5 vs. 2-1B, Admiral Conan Antonio Motti, Darth Maul, Momaw Nadon, R2-D2, Saw Gerrera, Sergeant Kreel;$8000
Yavin, Manhattan;Shaak Ti, Yoda vs. Borvo the Hutt, Chewbacca, Max Rebo, Nute Gunray, Snaggletooth;$7000
Bespin, Rebel Alliance;8D8, Cad Bane, Dexter Jettster, Dr. Nuvo Vindi, FN-2199, Greedo, Hondo Ohnaka, Iron Man, Mercurial Swift, Yoda, Zam Wesell vs. Admiral Gial Ackbar, Chirrut Îmwe, Nute Gunray, Orson Krennic, Po Nudo Paul, R5-J2;$52000
Bespin, Rebel Alliance;Adi Gallia, Han Solo, Lando Calrissian, Rey vs. R2-Q5;$14000
Scarif, Manhattan;Palpatine, Sabine Wren, Sly Moore, Yané vs. Padmé Amidala;$1000
Umbara, Manhattan;Boba Fett, R2-KT vs. Captain Jeremoch Colton, Chief Chirpa, Joh Yowza, Leia Organa, Queen Apailana, Wolverine;$6000
Dathomir, Rebel Alliance;Darth Maul, Governor Arihnda Pryce, Jango Fett, Pooja Naberrie vs. Agen Kolar, Alton Kastle, Orson Krennic;$5000
Geonosis, The Empire;Admiral Firmus Piett, Bodhi Rook, Leia Organa, Poe Dameron, R2-D2, Thor vs. Embo, Queen Miraj Scintel, R5-J2, Royal Guard;$9000
Endor, Rebel Alliance;San Hill vs. Finn, Ketsu Onyo, Logray, Nute Gunray, Quinlan Vos, R5-J2;$1000
Kashyyyk, The Empire;Pre Vizsla vs. BB-8, Chewbacca, Iron Man, Rorschach, Yoda;$4000
Kashyyyk, The Empire;Avengers, Po Nudo Paul, Riff Tamson vs. Luke Skywalker, Rey;$3000
Coruscant, Rebel Alliance;Avengers, Chirrut Îmwe vs. Moralo Eval;$5000
Concord Dawn, Rebel Alliance;Lando Calrissian, Taun We vs. Baze Malbus, Captain Phasma, Inquisitors, Longo Two-Guns, Niima the Hutt, Queen Apailana, Quinlan Vos, Shu Mai;$4000
Mandalore, The Empire;Admiral Conan Antonio Motti, Agen Kolar, Anakin Skywalker, Avengers, Captain Phasma, Grand Inquisitor, Jan Dodonna, Jango Fett, Jyn Erso, Leia Organa, Max Rebo, Padmé Amidala, Queen Miraj Scintel, R2-KT, Savage Opress, Watchmen, Yané vs. Luminara Unduli, Malakili, Mina Bonteri;$30000
Geonosis, The Empire;Admiral Conan Antonio Motti, Captain Jeremoch Colton, Che Amanwe Papanoida, Cliegg Lars, Ebe E. Endocott, Jan Dodonna, Jango Fett, Luke Skywalker, Mawhonic, Nute Gunray, Wolverine vs. Longo Two-Guns;$3000
Scarif, Manhattan;Echuu Shen-Jon, Ona Nobis, San Hill, Wolverine vs. Iron Man, Orson Krennic, Yoda;$4000
Concord Dawn, Rebel Alliance;Captain Lorth Needa vs. Ezra Bridger, Padmé Amidala, Riff Tamson;$4000
Onderon, Manhattan;General Maximilian Veers, Lok Durd, Watchmen vs. Aurra Sing, Leia Organa;$2000
Tatooine, Manhattan;Captain Phasma, Clone Trooper Fives, Ezra Bridger, General Maximilian Veers vs. Agent Kallus, Rey;$1000
Endor, Rebel Alliance;Lando Calrissian, Lyn Me, Mace Windu, Po Nudo Paul vs. Captain Panaka;$6000
Jedha, The Empire;Ahsoka Tano, General Maximilian Veers, Lott Dod, Meena Tills vs. Alton Kastle, Bren Derlin, Captain Phasma, Han Solo, Jango Fett, Mawhonic, Moteé;$7000
Coruscant, Rebel Alliance;Han Solo, IG-88, Oppo Rancisis, Xamuel Lennox vs. Avengers, Yané;$2000
Sullust, Manhattan;Captain Roos Tarpals, Count Dooku, Gardulla the Hutt, Kanan Jarrus, Mother Talzin, Nute Gunray, Orson Krennic, Rey, Sabine Wren, Saesee Tiin vs. General Grievous, Rappertunie;$30000
Endor, Rebel Alliance;Chief Chirpa vs. Agen Kolar, Alton Kastle, Baze Malbus, Meena Tills, Mina Bonteri, Rorschach;$11000
Bespin, Rebel Alliance;Grand Admiral Thrawn, Lor San Tekka, R2-KT vs. Baze Malbus, Captain Rex, Lando Calrissian;$12000
Kashyyyk, The Empire;Rorschach vs. Captain Phasma;$0
Hosnian Prime, The Empire;Moralo Eval vs. San Hill, Thor;$2000
Sullust, Manhattan;Agent Kallus, Han Solo, King Katuunko vs. Bodhi Rook, Meena Tills, Saché;$6000
Coruscant, Rebel Alliance;Beru Whitesun Lars, Cliegg Lars, Clone 99, Dexter Jettster, Embo, Iron Man, Nahdar Vebb, Nute Gunray, Oola, R4-G9, Ransolm Casterfo, Sergeant Kreel, Shaak Ti, Shu Mai, Wullf Yularen vs. Leia Organa;$44000
Kamino, The Empire;Admiral Trench vs. Cordé, General Maximilian Veers, Han Solo, Jango Fett, Teedo;$1000
Scarif, Manhattan;4-LOM vs. Obi-Wan Kenobi;$4000
Geonosis, The Empire;Eli Vanto, Luminara Unduli vs. Malé-Dee;$3000
Mon Cala, The Empire;Depa Billaba, Jar Jar Binks, Moradmin Bast, Mother Talzin vs. Avengers, Ima-Gun Di, Mawhonic;$3000
Bespin, Rebel Alliance;Ahri Raas, Rey, Shaak Ti vs. K-2SO, Meena Tills;$3000
Onderon, Manhattan;Beru Whitesun Lars, Even Piell, RA-7, Sly Moore vs. R2-KT, R4-G9;$5000
Kashyyyk, The Empire;General Crix Madine vs. Admiral Gial Ackbar, Jobal Naberrie, Royal Guard, Saesee Tiin, Taun We, Tessek, Watchmen;$15000
Nal Hutta, The Empire;Galen Erso, Onaconda Farr vs. Asajj Ventress;$0
Scarif, Manhattan;Avengers, Jobal Naberrie, King Katuunko, Sabine Wren vs. Dormé, Eli Vanto, Finis Valorum, R2-D2, Tikkes;$10000
Ryloth, Manhattan;Alton Kastle, Count Dooku, Gardulla the Hutt, U9-C4 vs. Tion Medon, Yoda;$7000
Endor, Rebel Alliance;Salacious B. Crumb vs. K-2SO;$1000
Umbara, Manhattan;Jom Barell, Longo Two-Guns vs. 0-0-0, Asajj Ventress, Leia Organa, Sergeant Kreel, Wullf Yularen;$1000
Onderon, Manhattan;Cliegg Lars, Oola vs. Anakin Skywalker, Coleman Kcaj, Moff Delian Mors, Obi-Wan Kenobi;$2000
Bespin, Rebel Alliance;Bodhi Rook, Royal Guard, Watchmen vs. Sola Naberrie;$1000
Scarif, Manhattan;Padmé Amidala vs. Leia Organa, Longo Two-Guns, Wuher, Xamuel Lennox;$2000
Sullust, Manhattan;Admiral Conan Antonio Motti, Savage Opress vs. Chirrut Îmwe, Commander Wolffe;$4000
Mon Cala, The Empire;Captain Phasma, Oola, Padmé Amidala, Wittin vs. Armitage Hux, Avengers, Darth Bane, Daultay Dofine, Inquisitor: Fifth Brother, Jubnuk, Thor;$4000
Mandalore, The Empire;Captain Phasma, Moralo Eval, Morley, TC-14, Watchmen vs. Lieutenant Watts;$1000
Kashyyyk, The Empire;Armitage Hux, Boba Fett, Darth Plagueis, Lieutenant Watts vs. Captain Jeremoch Colton, Inquisitors;$2000
Dathomir, Rebel Alliance;Ponda Baba vs. Beru Whitesun Lars, General Crix Madine, Kylo Ren, Mawhonic, X-Men;$3000
Kashyyyk, The Empire;Bo-Katan Kryze vs. Almec, Berch Teller, Ebe E. Endocott, Eli Vanto, Iron Man, K-2SO, Quarrie, TC-14, X-Men;$3000
Scarif, Manhattan;Zuckuss vs. Inquisitors, Letta Turmond, Wolverine, Yoda;$3000
Tatooine, Manhattan;Adi Gallia, Cham Syndulla vs. Ahri Raas, Depa Billaba, Gardulla the Hutt, Mace Windu, Watchmen;$2000
Concord Dawn, Rebel Alliance;Oola, Rogue Squadron vs. Lux Bonteri, Owen Lars;$1000
Concord Dawn, Rebel Alliance;Barada, Oola vs. Inquisitors, Moff Delian Mors;$3000
Bespin, Rebel Alliance;Beru Whitesun Lars, Bren Derlin, Commander Wolffe, Moteé, Quinlan Vos, Wolverine vs. Thor;$5000
Sullust, Manhattan;Cassian Andor, Morley, Oppo Rancisis, Zam Wesell vs. Jango Fett;$3000
Dathomir, Rebel Alliance;Morley vs. Agen Kolar, Rorschach;$2000
Bespin, Rebel Alliance;Chirrut Îmwe, Teebo, Wullf Yularen vs. Admiral Firmus Piett, Captain Lorth Needa, Cassian Andor, Commander Bly, Han Solo, Jango Fett, Lok Durd, R5-D4, Rey, Rogue Squadron, Wolverine;$23000
Scarif, Manhattan;Qui-Gon Jinn vs. Cham Syndulla, Grand Admiral Thrawn, Oppo Rancisis, Romba, Rorschach, Teedo;$4000
Hosnian Prime, The Empire;Admiral Gial Ackbar, Anakin Skywalker, Bodhi Rook, Dengar, Jar Jar Binks, Sora Bulq, Thor vs. Cliegg Lars;$11000
